Name,Exclusive secs,Inclusive secs,% Exclusive,% Inclusive,Module,Source File,Source Line
"__tmainCRTStartup",0,330.008,0,12.5,"serverProgram","[unknown]",0
"mainCRTStartup",0,330.008,0,12.5,"serverProgram","[unknown]",0
"Server::run",0.0486285,330.008,0.00184195,12.5,"serverProgram","[unknown]",0
"Server::processReq",0.147342,0.305119,0.00558099,0.0115572,"serverProgram","[unknown]",0
"worker",0,96.62,0,3.65976,"serverProgram","[unknown]",0
"Thread::Send",0,0.0051122,0,0.000193639,"serverProgram","[unknown]",0
"Thread::Rec",0,329.855,0,12.4942,"serverProgram","[unknown]",0
"Person::login",0,96.62,0,3.65976,"serverProgram","[unknown]",0
"Person::profile",0,0.0049896,0,0.000188996,"serverProgram","[unknown]",0
"Person::initialize_cash",0,0.0738762,0,0.00279828,"serverProgram","[unknown]",0
"Person::update_goods",0,0.0059868,0,0.000226767,"serverProgram","[unknown]",0
"Person::update_balance",0,0.0268175,0,0.00101579,"serverProgram","[unknown]",0
"Person::update_cash",0,0.0146342,0,0.000554313,"serverProgram","[unknown]",0
"Person::buy",0,0.1312,0,0.00496958,"serverProgram","[unknown]",0
"Customer::start",0,0.0566244,0,0.00214481,"serverProgram","[unknown]",0
"Customer::home",0,0.0566244,0,0.00214481,"serverProgram","[unknown]",0
"Employee::home",0,52.0115,0,1.97009,"serverProgram","[unknown]",0
"Employee::complain",0,96.4789,0,3.65442,"serverProgram","[unknown]",0
"Admin::home",0,44.5519,0,1.68753,"serverProgram","[unknown]",0
"Admin::balance",0,0.010932,0,0.000414081,"serverProgram","[unknown]",0
"Complaint_E::answer",0,0.0057382,0,0.000217351,"serverProgram","[unknown]",0
"main",0,330.008,0,12.5,"serverProgram","[unknown]",0
"PROGRAM",0,96.62,0,3.65976,"serverProgram","[unknown]",0
"__WSAFDIsSet",0.0440147,0.0440147,0.00166718,0.00166718,"serverProgram","[unknown]",0
"memcpy",0.0151262,0.0151262,0.000572949,0.000572949,"serverProgram","[unknown]",0
"std::__basic_file<char>::is_open",0.0069784,0.0069784,0.000264327,0.000264327,"serverProgram","[unknown]",0
"std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_float<double>",0,0.0047732,0,0.000180799,"serverProgram","[unknown]",0
"std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put",0,0.0047732,0,0.000180799,"serverProgram","[unknown]",0
"std::istream::read",0,0.0057382,0,0.000217351,"serverProgram","[unknown]",0
"std::ostream::operator<<",0,0.0047732,0,0.000180799,"serverProgram","[unknown]",0
"std::__basic_file<char>::open",0,0.0885263,0,0.00335319,"serverProgram","[unknown]",0
"std::__basic_file<char>::close",0,0.0109356,0,0.000414218,"serverProgram","[unknown]",0
